Student number, Year, Major, Course Title
1,1,Electrical Engineering,Introduction to Electrical Engineering,Calculus I
1,1,Electrical Engineering,Introduction to Digital Logic,English Composition
1,1,Electrical Engineering,Psychology,General Chemistry
1,1,Electrical Engineering,Introduction to Sociology,College Success Seminar
1,2,Electrical Engineering,Circuit Analysis I,Calculus II
1,2,Electrical Engineering,Introduction to Programming (Python),Introduction to Electronic Devices
1,2,Electrical Engineering,Art,Physics I
1,2,Electrical Engineering,Communication and Presentation Skills,Engineering Ethics
1,3,Electrical Engineering,Signals and Systems,Introduction to Control Systems
1,3,Electrical Engineering,Data Structures and Algorithms,Electromagnetic Fields and Waves
1,3,Electrical Engineering,Economics,Probability and Statistics for Engineers
1,3,Electrical Engineering,Technical Writing and Presentation,Engineering Design Laboratory
1,4,Electrical Engineering,Senior Design Project I,Senior Design Project II
1,4,Electrical Engineering,Power Systems,Power Electronics
1,4,Electrical Engineering,Engineering Elective,Engineering Elective
2,4,Electrical Engineering,Ethics in Engineering,Engineering Seminar
2,1,Psychology,Introduction to Psychology,Calculus I
2,1,Psychology,Introduction to Sociology,English Composition
2,1,Psychology,Spanish Language,General Chemistry
2,1,Psychology,Introduction to Philosophy,College Success Seminar
2,2,Psychology,Cognitive Psychology,Statistics for Behavioral Sciences
2,2,Psychology,Social Psychology,Research Methods in Psychology
2,2,Psychology,Art,Physics I
2,2,Psychology,Communication and Presentation Skills,Introduction to Neuroscience
2,3,Psychology,Abnormal Psychology,Developmental Psychology
2,3,Psychology,Learning and Memory,Psychological Testing and Assessment
2,3,Psychology,Economics,Sensation and Perception
2,3,Psychology,Technical Writing and Presentation,History and Systems of Psychology
2,4,Psychology,Senior Thesis in Psychology,Advanced Topics in Psychology
2,4,Psychology,Cross-Cultural Psychology,Psychology Elective
2,4,Psychology,Psychology Elective,Ethics in Psychology
3,4,Psychology,Psychology Seminar,Independent Research in Psychology
3,1,Computer Science,Introduction to Computer Science,Calculus I
3,1,Computer Science,Introduction to Digital Logic,English Composition
3,1,Computer Science,Psychology,General Chemistry
3,1,Computer Science,Introduction to Sociology,College Success Seminar
3,2,Computer Science,Data Structures and Algorithms,Computer Organization and Assembly Language
3,2,Computer Science,Linear Algebra,Introduction to Software Engineering
3,2,Computer Science,Art,Physics I
3,2,Computer Science,Communication and Presentation Skills,Engineering Ethics
3,3,Computer Science,Operating Systems,Database Management Systems
3,3,Computer Science,Web Development,Introduction to Artificial Intelligence
3,3,Computer Science,Economics,Technical Writing and Presentation
3,3,Computer Science,History and Philosophy of Science,Engineering Design Laboratory
3,4,Computer Science,Software Testing and Quality Assurance,Capstone Project
3,4,Computer Science,Cloud Computing,Cybersecurity
3,4,Computer Science,Human-Computer Interaction,Machine Learning
4,4,Computer Science,Ethics in Computing,Computer Science Seminar
4,1,Mechanical Engineering,Introduction to Mechanical Engineering,Calculus I
4,1,Mechanical Engineering,Introduction to Digital Logic,English Composition
4,1,Mechanical Engineering,Art,General Chemistry
4,1,Mechanical Engineering,Introduction to Sociology,College Success Seminar
4,2,Mechanical Engineering,Engineering Thermodynamics,Calculus II
4,2,Mechanical Engineering,Engineering Materials,Introduction to Programming (Python)
4,2,Mechanical Engineering,Spanish Language,Physics I
4,2,Mechanical Engineering,Communication and Presentation Skills,Engineering Ethics
4,3,Mechanical Engineering,Mechanics of Materials,Introduction to Control Systems
4,3,Mechanical Engineering,Data Structures and Algorithms,Electromagnetic Fields and Waves
4,3,Mechanical Engineering,Economics,Technical Writing and Presentation
4,3,Mechanical Engineering,History and Philosophy of Science,Engineering Design Laboratory
4,4,Mechanical Engineering,Senior Design Project I,Senior Design Project II
4,4,Mechanical Engineering,Power Systems,Heat Transfer
4,4,Mechanical Engineering,Engineering Elective,Engineering Elective
5,4,Mechanical Engineering,Ethics in Engineering,Engineering Seminar
5,1,Environmental Science,Introduction to Environmental Science,Calculus I
5,1,Environmental Science,Introduction to Sociology,English Composition
